user_id,hotel_name,rating,price,trip_type,companion,star,district,destination
,Parkroyal on Pickering,5,0.21094863,leisure,family,5,Singapore,0
,Parkroyal on Pickering,5,0.21094863,business,family,5,Singapore,0
,Pasir Panjang Inn,3,0.035256358,leisure,couple,2,Singapore,0
,Pasir Panjang Inn,3,0.035256358,business,couple,2,Singapore,0
,Peninsula Excelsior Hotel,4,0.06689374,leisure,solo,4,City Hall, Singapore
,Peninsula Excelsior Hotel,4,0.139535265,business,friend,4,City Hall, Singapore
,Perak Hotel,3.5,0.03874433,leisure,couple,3,Little India, Singapore
,Perak Hotel,3.5,0.075212472,business,family,3,Little India, Singapore
,Perak Hotel,3.5,0.03874433,business,couple,3,Little India, Singapore
,Perak Hotel,3.5,0.075212472,leisure,family,3,Little India, Singapore
,Pillow Talk Hostel,3,0.058050993,leisure,friend,1,Lavender, Singapore
,Pillow Talk Hostel,3,0.058050993,business,friend,1,Lavender, Singapore
,Pillow Talk Hostel,3,0.004486875,leisure,solo,1,Lavender, Singapore
,Pillow Talk Hostel,3,0.004486875,business,solo,1,Lavender, Singapore
,Pine Hostel - By Just Inn,4,0.01290386,leisure,couple,2,Lavender, Singapore
,Pine Hostel - By Just Inn,4,0.01290386,business,couple,2,Lavender, Singapore
,Plush Pods,2.5,0.009808898,leisure,solo,1,Singapore,0
,Plush Pods,2.5,0.009808898,business,solo,1,Singapore,0
,Porcelain Hotel by JL Asia,3,0.037352416,leisure,couple,3,Chinatown, Singapore
,Porcelain Hotel by JL Asia,3,0.032488906,leisure,solo,3,Chinatown, Singapore
,Porcelain Hotel by JL Asia,3,0.032488906,business,solo,3,Chinatown, Singapore
,Porcelain Hotel by JL Asia,3,0.037352416,business,couple,3,Chinatown, Singapore
,Premier Inn Singapore Beach Road,4,0.047439697,business,solo,3,Singapore,0
,Premier Inn Singapore Beach Road,4,0.047439697,business,couple,3,Singapore,0
,Premier Inn Singapore Beach Road,4,0.047439697,leisure,solo,3,Singapore,0
,Quality Hotel Marlow,3,0.046080534,leisure,couple,4,Novena, Singapore
,Quality Hotel Marlow,3,0.046080534,business,couple,4,Novena, Singapore
,Quarters Hostel,4,0.050125272,leisure,family,2,Boat Quay, Singapore
,Quarters Hostel,4,0.050125272,business,family,2,Boat Quay, Singapore
,Quarters Hostel,4,0.006959569,business,solo,2,Boat Quay, Singapore
,Quarters Hostel,4,0.050125272,business,friend,2,Boat Quay, Singapore
,Quarters Hostel,4,0.050125272,leisure,friend,2,Boat Quay, Singapore
,Quarters Hostel,4,0.006959569,leisure,solo,2,Boat Quay, Singapore
,Raffles Singapore,5,0.648402574,business,friend,5,City Hall, Singapore
,Raffles Singapore,5,0.648402574,leisure,friend,5,City Hall, Singapore
,Raintr33 Hotel Singapore,3,0.104655542,business,friend,4,Singapore,0
,Raintr33 Hotel Singapore,3,0.104655542,leisure,friend,4,Singapore,0
,Regin Hotel,2.5,0.03247253,business,couple,3,Singapore,0
